origin_id,destination_id,distance_km
29,11,47.81805
29,12,16.0409
29,13,16.43345
29,14,35.24936
29,15,34.86061
29,16,3.93986
29,17,54.33442
29,18,24.2957
29,19,30.58151
29,20,1.66854
29,21,296.59275
29,22,5.514189999999999
29,23,18.78779
29,24,29.52525
29,25,6.624479999999999
29,26,10.17839
29,27,9.36507
29,28,32.78014
