id,name,street,postal_code,city,latitude,longitude
33,Pharmacie Lepesme,2-4 Pl. Charles de Gaulle,77540,Rozay-en-Brie,48.683345,2.956902
34,Pharmacie de la Mairie,60 Rue Charles de Gaulle,77720,Mormant,48.60694,2.890953
35,Pharmacie Rombaux,8 Pl. Marius Haussy,60890,Mareuil-sur-Ourcq,49.137808,3.077449
36,Pharmacie Des Saisons de Meaux,3 Avenue Roland Moreno,77124,Chauconin-Neufmontiers,48.959419,2.860787
37,Pharmacie de l'Hotel de Ville,1 Pl. de l'Hôtel de ville,77260,La Ferté-sous-Jouarre,48.95022,3.129599
38,Pharmacie de Jouarre,23 Grande Place,77640,Jouarre,48.926895,3.129969
39,Pharmacie Lefeuvre-Garriot,34 Av. de Senlis,60800,Crépy-en-Valois,49.232469,2.878542
40,La Pharmacie de Guignes,31 Rue de Troyes,77390,Guignes,48.630919,2.80994
41,Pharmacie de Acy en Multien,36 Rue de la Libération,60620,Acy-en-Multien,49.156426,2.954135
42,Pharmacie des Saints Pères nanteuil les meaux,Avenue Fridingen,77100,Nanteuil-lès-Meaux,48.936384,2.884618
43,Pharmacie Principale,53 Rue nationale,60800,Crépy-en-Valois,49.236802,2.887699
44,Grande Pharmacie Du centre,Rue Gérard de Nerval,77280,Othis,49.072507,2.676166
45,Pharmacie Khin de St Germain sur Morin,20 Rue de Paris,77860,Saint-Germain-sur-Morin,48.881874,2.850669
46,Pharmacie Darras,26 Rue Couperin,77390,Chaumes-en-Brie,48.665103,2.840983
47,Pharmacie wellpharma Principale,4 Bd de la Marne,77120,Coulommiers,48.804265,3.091357
48,Pharmacie de Pontcarré,85 Grande Rue,77135,Pontcarré,48.796652,2.705915
49,Pharmacie ROSSET,56 Av. de Verdun,77470,Trilport,48.957707,2.951751
50,Pharmacie de la Gare,3 Rue du Général Leclerc,77450,Esbly,48.900584,2.811949
51,Pharmacie de Boissy,4 Rue de Rebais,77169,Boissy-le-Châtel,48.825186,3.14417
52,Pharmacie Peda,32 Rue Paul Valentin,77410,Annet-sur-Marne,48.926018,2.71975
53,Pharmacie de St Mard Elsie,24 Av. de la Font du Berger,77230,Saint-Mard,49.036117,2.684093
54,Aprium Pharmacie St Soupplets,35 Rue du Bourget,77165,Saint-Soupplets,49.037219,2.804373
55,Pharmacie des Remparts,6 Rue Charles de Gaulle,60800,Crépy-en-Valois,49.234527,2.887277
56,Pharmacie de la Pierre Collinet,9 Rue Guillaume Briçonnet,77100,Meaux,48.94793,2.895375
57,PHARMACIE LEFEBVRE TOULET KAREN,5 Rue de la Couture,77510,Villeneuve-sur-Bellot,48.861924,3.341367
58,Pharmacie du Haudouin,6 Rue de la Croix Verte,60440,Nanteuil-le-Haudouin,49.13887,2.80958
59,Pharmacie Centrale de Claye,60 Rue Jean Jaurès,77410,Claye-Souilly,48.945258,2.686254
60,Pharmacie du Valois,56 Av. du Président John Kennedy,60800,Crépy-en-Valois,49.226409,2.881524
61,PHARMACIE DU CŒUR DE LA BRIE,29-31 Rue de Paris,77320,La Ferté-Gaucher,48.780843,3.304961
62,PHARMACIE DU MARCHÉ,5 Pl. du Marché,77580,Crécy-la-chapelle,48.861602,2.949923
63,Pharmacie Godart,7 Rue Margueritte Perey,77610,Fontenay-Trésigny,48.706751,2.868672
64,Pharmacie De La Gare,5 place Révolution,77680,Roissy en Brie,48.796146,2.650341
65,Pharmacie d'Ile-de-France,ZAC vaux 4 Pl. de l'Île de France,77120,Coulommiers,48.781961,3.28356
66,Pharmacie de Beton-Bazoches,1 Pl. de l'Église Saint-Denis,77320,Beton-Bazoches,48.701927,3.24437
67,Pharmacie Parapharmacie des Sources,46 Rue du Plessis,77178,Saint-Pathus,49.07753,2.783077
68,Pharmacie des Ormes,8 Rue Georges Faroy,77515,Faremoutiers,48.801006,2.985533
69,Pharmacie de l'Église,3 Rue Maréchal Joffre,77470,Trilport,48.957825,2.945749
